# To Value|From Value
CHRISTOPHER|CHRISS
CHRISTINE|CHRISY
VIRGIL|VIRGIE
VIRGINIA|VIRGIE
EILEEN|EILEE
NICOLE|NIKKIE
SUSAN|SUZZEE
SUZANNA|SUZZEE
SUZETTE|SUZZEE
CHARLES|CHUCKY
MARIA|CHULIA
ELAINE|ELAIN
ELBERT|ELBIE
ELFRIDA|ELFIE
ELIZABETH|ELIZA
ELLEN|ELLEY
ELAINE|ELLIE
ELEANOR|ELLIE
ELINOR|ELLIE
ELLEN|ELLIE
ELSA|ELLIE
ELSA|ELSIE
RAELEEN|RAELA
RAFAEL|RAFFY
MILDRED|MILLIE
MILLICENT|MILLIE
RAYMOND|RAIME
ELIZA|ELZIE
ELSA|ELZIE
ROLANDA|RALNA
RAYMOND|RAMEE
RAYMOND|RAMEY
RAYMOND|RAMIE
RAYMOND|RAMMY
LAURENCE|RANCE
MIRANDA|RANDI
RANDALL|RANDY
RANDOLPH|RANDY
ROSANNA|RANNA
MILLICENT|MILZIE
RAYMOND|RAYME
RAYMOND|RAYMI
RICHARD|DICKEE
RICHARD|DICKEY
RICHARD|DICKIE
RICHARD|DICKYE
QUINLAN|QUINN
QUINTON|QUINN
QUINTON|QUINT
DULCINEA|DULCIE
EMILY|EMMIE
EMMA|EMMIE
LILLIAN|LILLIE
JUSTIN|JUSTIE
JUSTINE|JUSTIE
BENJAMIN|MINCHO
MINERVA|MINNIE
RICHARD|RITCHE
RICHARD|RITCHY
LINDA|LINDEE
LINDA|LINDEY
LINDA|LINDIA
LINDA|LINDIE
LINN|LINNER
LIN|LINNEY
LINN|LINNEY
LIN|LINNIE
LINDA|LINNIE
LINN|LINNIE
KIMBERLY|KIMMAY
KIMBERLY|KIMMEE
KIMBERLY|KIMMER
KIMBERLY|KIMMEY
KIMBERLY|KIMMIE
ROSE|ROSEMARY
MACARTNEY|MCCARTNEY
REBECCA|REBAH
REBECCA|REBBA
REBECCA|REBEC
REBECCA|REEBA
REGINA|REGGI
REGINA|REGGY
REGINALD|REGGY
REGINA|REGIA
REGINA|REGIE
REGINA|REGIN
REGINA|REGIS
REGINA|REINA
LAWRENCE|RENZO
LORENZO|RENZO
JAMES|JIMMEE
JAMES|JIMMEY
JAMES|JIMMIE
JAMES|JIMMMY
JAMES|JIMMYE
ARETHA|RETHA
RHYNE|REYNE
AUGUSTA|GUSSIE
GUSTAV|GUSSIE
BRUMBACK|BRUMBACH
SEBASTIAN|SEPASETIANO
HILDA|HILDIE
ERNEST|ERNEY
ERNEST|ERNIE
ERNESTINE|ERNIE
ERNEST|ERNNY
ERNEST|ERNSO
ERIN|ERRIE
DENISE|NISSEY
GILDA|GILDIE
GILLIAN|GILLIE
ESTELLE|ESSIE
ESTHER|ESSIE
READ|RHEAD
REBA|RHEBA
REES|RHEES
REIN|RHEIN
ESTELLE|ESTEE
ESTHER|ESTHA
ESTHER|ESTHE
ESTHER|ESTIE
RHIANNON|RHIAN
RINE|RHINE
MICHELLE|MISSIE
MILLICENT|MISSIE
ROAN|RHOAN
RODA|RHODA
RODE|RHODE
ROME|RHOME
RONA|RHONA
RONE|RHONE
RUDE|RHUDE
RUDY|RHUDY
ROULE|RHULE
RUHLE|RHULE
RULE|RHULE
RUMP|RHUMP
RYAN|RHYAN
FRANCES|FRANCIA
FRANCIS|FRANCIE
FRANK|FRANCKY
FRANCES|FRANCYE
FRANK|FRANKEE
FRANK|FRANKEY
FRANCES|FRANKIE
FRANK|FRANKIE
FRANKLIN|FRANKIE
FRANK|FRANKYE
FRANCES|FRANNIE
FRANCINE|FRANNIE
FRANCIS|FRANNIE
SHROEDER|SCHROEDER
DUSTINE|DUSTEE
DUSTIN|DUSTIE
DUSTINE|DUSTIE
ETHEL|ETHIE
RHIANNON|RIANA
RHIANNON|RIANE
RHIANNON|RIANN
RICARDO|RICCI
RICHARD|RICCI
RICKI|RICCI
RICARDO|RICCO
RICHARD|RICCO
ERIC|RICCY
RICARDO|RICCY
RICHARD|RICHI
RICHARDO|RICHI
RICHARD|RICHO
RICHARD|RICHY
RICHARDO|RICHY
ERIC|RICIE
FREDERICKA|RICKA
RICHARD|RICKE
RICHARD|RICKI
RICK|RICKI
RICARDO|RICKO
RICHARD|RICKO
FREDERICK|RICKY
RICHARD|RICKY
RICK|RICKY
EDITH|ETTIE
EDNA|ETTIE
EDYTHE|ETTIE
ESTHER|ETTIE
RICHARD|RIKKI
ELISE|LISSIE
KIRSTEN|KIRSTY
CHRISTOPHER|RISTO
RICHARD|RITCH
RITCHIE|RITCH
VIRGINIA|GINNIE
FRANCES|FANNY
FRANCIS|FANNY
BERNARD|BURNEY
BERNARD|BURNIE
EUNICE|EUNIE
KEZIAH|KISSIE
DILLON|DILLIE
EVELYN|EVVIE
KATHLEEN|KITTIE
KATHLEEN|KITTYE
REBECA|REBECCA
WILLIAM|BILAAL
DENISE|DINNIE
WILLIAM|BILLAL
WILLIAM|BILLEE
WILLIAM|BILLEY
WILLIAM|BILLIE
WILLIAM|BILLYE
CYNTHIA|CINDEE
CYNTHIA|CINDEY
CYNTHIA|CINDIE
GERTRUDE|GIRTIE
ALFREDA|FERDA
FERDINAND|FERDA
FREDERICKA|FERDA
FERDINAND|FERDY
BENEDICTA|BINNEY
EZEKIEL|EZECK
ROBERTA|ROBBI
ROBIN|ROBBI
ROBERT|ROBBY
ROBERTA|ROBBY
ROBIN|ROBBY
ROBERT|ROBIE
ROBERT|ROBIN
ROBERT|ROBYN
RODERICK|RODDY
RODNEY|RODDY
ROLAND|ROLLO
ROLAND|ROLLY
RUDOLPH|ROLPH
ROMEY|ROMIE
ROMEY|ROMMY
RONALD|RONAY
RONALD|RONDE
RONALD|RONDO
RONALD|RONDY
RONALD|RONEE
RONALD|RONEY
RONALD|RONIE
RONALD|RONII
RONALD|RONNE
RONALD|RONNI
RONALD|RONNY
ROSANNA|ROSIE
ROSE|ROSIE
ROXANNE|ROXEY
ROXANNE|ROXIE
BRITTANY|BRITTAI
BRITTANY|BRITTIE
BIANCA|BLINNIE
ROADES|RHOADES
ELIZABETH|LIZZIE
KEZIAH|KIZZIE
OPHELIA|FILIA
FITZGERALD|FITCH
BARNARD|BIRNEY
SCOTT|SCOTTIE
FLORENCE|FLOIE
FLOSSIE|FLOSS
SALLY|SADIE
SARA|SADIE
SARAH|SADIE
SARA|SADYE
SARAH|SADYE
SALOME|SALLY
SARA|SALLY
SARAH|SALLY
SAMUEL|SAMIE
SAMANTHA|SAMMY
SAMUEL|SAMMY
SANDRA|SANDA
SANDRA|SANDE
SANDRA|SANDI
SANDRA|SANDO
SANDRA|SANDR
SANDRA|SANDT
ALEXANDER|SANDY
ALEXANDRA|SANDY
SANDRA|SANDY
SUSANA|SANNA
SUSANNA|SANNA
SUSANNAH|SANNA
SUZANNA|SANNA
SARA|SARIE
SARAH|SARIE
ALEXANDER|SASHA
SARA|SASSA
SARAH|SASSA
RUBY|RUBIE
RUBY|RUBYE
RUDOLPH|RUDDY
RUDOLPH|RUDIE
RUSSELL|RUSTY
RUSTON|RUSTY
RUTH|RUTHI
RUTH|RUTHY
ALPHONSO|FONSO
ROSE|ROSEMARIE
JEROME|JEROMIE
CECELIA|SELIA
SELENA|SELIE
MCCARTNEY|MACARTNEY
FRED|FRADY
FRANCIS|FRANG
FRANCES|FRANI
FRANCIS|FRANK
FRANCES|FRANN
FRANCES|FRANY
ALFREDA|FREDA
FREDERICA|FREDA
FREDERICKA|FREDA
FRED|FREDE
FREDERICK|FREDE
FRED|FREDI
FREDERICK|FREDI
FRED|FREDY
FREDERICK|FREDY
FREDERICK|FRITZ
MARGARET|MARGARIE
SHARON|SHARI
SHARON|SHARY
LESHAWN|SHAWN
SHAWNA|SHAWN
MICHELLE|SHELL
SHELDON|SHELL
SHELLEY|SHELL
SHELLY|SHELL
CHERYL|SHERI
SHARON|SHERI
SHIRLEY|SHERL
SHERMAN|SHERM
SHIRLEY|SHIRL
SHONA|SHONE
SHIRLEY|SHURL
SHARON|SHYRI
TIESEN|THEISEN
SYBIL|SIBBY
SIGMUND|SIGGY
SIMONE|SIMMI
SIMON|SIMMY
CECELIA|SISSY
GABRIEL|GABBY
GABRIEL|GABYS
RHONDA|RHONNIE
GERALD|GARRY
ABIGAIL|GAYLE
STEFAN|STEAVIE
STEPHAN|STEAVIE
STEPHEN|STEAVIE
TOMPKINS|THOMPKINS
RICHARDSON|RICHARD
GWENDOLYN|GWENDA
CLARENCE|SKIPPY
MARGARET|MARGERIE
MARY|MAIREAG
GENEVA|GEENA
GENEVIEVE|GENIE
JEANETTE|GENIE
JENNIFER|GENNA
JENNIFER|GENNE
JENNIFER|GENNI
GENEVIEVE|GENNY
JENNIFER|GENNY
GEOFFREY|GEOFF
JEFFREY|GEOFF
GERTRUDE|GERDA
GERALDINE|GEREE
GERALDINE|GERRI
GERALD|GERRY
GERALDINE|GERRY
GERARD|GERRY
JEREMY|GERRY
GERTRUDE|GERTA
GERTRUDE|GERTI
GERTRUDE|GERTY
